Service,Request,Result,Quality,HTTP Status,Response Time (ms)
Yandex,"109012, г. Москва, Красная площадь, д. 1",55.755277 37.61768,exact,200,204.99
DaData,"109012, г. Москва, Красная площадь, д. 1",,network error: 0,0,2288.64
GigaChat,"109012, г. Москва, Красная площадь, д. 1","Координаты адреса «109012, г. Москва, Красная площадь, д. 1» примерно равны:

**55.751244, 37.618423**",-,200,541.76
Yandex,"125009, г. Москва, Тверская ул., д. 7",55.757972 37.611212,exact,200,120.0
DaData,"125009, г. Москва, Тверская ул., д. 7",,network error: 0,0,2217.99
GigaChat,"125009, г. Москва, Тверская ул., д. 7","Координаты адреса «125009, г. Москва, Тверская улица, дом 7» примерно равны:

**latitude:** `55.753960`
**longitude:** `37.620398`",-,200,524.84
Yandex,"101000, г. Москва, ул. Мясницкая, д. 26",55.763979 37.637326,exact,200,95.55
DaData,"101000, г. Москва, ул. Мясницкая, д. 26",,network error: 0,0,2205.89
GigaChat,"101000, г. Москва, ул. Мясницкая, д. 26","Координаты адреса «101000, г. Москва, ул. Мясницкая, д. 26»: **55.759897, 37.611678**",-,200,483.5
Yandex,"119019, г. Москва, ул. Арбат, д. 51",55.747784 37.586688,exact,200,131.0
DaData,"119019, г. Москва, ул. Арбат, д. 51",,network error: 0,0,2217.13
GigaChat,"119019, г. Москва, ул. Арбат, д. 51","Координаты адреса «119019, г. Москва, ул. Арбат, д. 51» примерно равны:

**latitude:** `55.751244`  
**longitude:** `37.618423`",-,200,528.06
Yandex,"127006, г. Москва, ул. Новый Арбат, д. 15",55.751933 37.593066,exact,200,124.42
DaData,"127006, г. Москва, ул. Новый Арбат, д. 15",,network error: 0,0,2236.48
GigaChat,"127006, г. Москва, ул. Новый Арбат, д. 15","Координаты адреса «127006, г. Москва, ул. Новый Арбат, д. 15»: **55.7522° N, 37.6155° E**  
Или в указанном вами формате: `latitude longitude`: **55.7522 37.6155**.",-,200,848.8
Yandex,"115035, г. Москва, ул. Пятницкая, д. 62",55.732996 37.627148,exact,200,117.34
DaData,"115035, г. Москва, ул. Пятницкая, д. 62",,network error: 0,0,2235.02
GigaChat,"115035, г. Москва, ул. Пятницкая, д. 62","Координаты адреса «115035, г. Москва, ул. Пятницкая, д. 62» примерно равны:

**latitude:** `55.7895`
**longitude:** `37.6143`",-,200,713.65
Yandex,"107031, г. Москва, Кузнецкий Мост ул., д. 21/5",55.762004 37.626448,exact,200,171.14
DaData,"107031, г. Москва, Кузнецкий Мост ул., д. 21/5",,network error: 0,0,2228.31
GigaChat,"107031, г. Москва, Кузнецкий Мост ул., д. 21/5","Координаты адреса «107031, г. Москва, Кузнецкий Мост ул., д. 21/5» примерно равны:

**latitude:** `55.7891°`  
**longitude:** `37.6137°`",-,200,538.78
Yandex,"123001, г. Москва, ул. 1905 года, д. 8",55.767089 37.560233,exact,200,160.5
DaData,"123001, г. Москва, ул. 1905 года, д. 8",,network error: 0,0,2245.66
GigaChat,"123001, г. Москва, ул. 1905 года, д. 8","Координаты адреса «123001, г. Москва, ул. 1905 года, д. 8»: **55.764036, 37.619044**",-,200,529.34
Yandex,"119121, г. Москва, Ленинский проспект, д. 32А",55.710732 37.578262,exact,200,128.61
DaData,"119121, г. Москва, Ленинский проспект, д. 32А",,network error: 0,0,2226.59
GigaChat,"119121, г. Москва, Ленинский проспект, д. 32А","Координаты адреса «119121, г. Москва, Ленинский проспект, д. 32А»: **55.7385° N, 37.6066° E**  
Или в указанном формате: **latitude 55.7385, longitude 37.6066**.",-,200,826.5
Yandex,"129090, г. Москва, проспект Мира, д. 41",55.781241 37.633023,number,200,145.52
DaData,"129090, г. Москва, проспект Мира, д. 41",,network error: 0,0,2237.49
GigaChat,"129090, г. Москва, проспект Мира, д. 41","Координаты адреса «129090, г. Москва, проспект Мира, д. 41»: **55.8166° N, 37.8500° E**  
То есть в формате, запрошенном вами: `latitude longitude`:  
`55.8166 37.8500`",-,200,825.1
Yandex,"11. 190000, г. Санкт-Петербург, Невский пр., д. 28",59.9358 30.325875,exact,200,147.15
DaData,"11. 190000, г. Санкт-Петербург, Невский пр., д. 28",,network error: 0,0,2191.01
GigaChat,"11. 190000, г. Санкт-Петербург, Невский пр., д. 28","Координаты адреса «190000, г. Санкт-Петербург, Невский пр., д. 28» примерно равны:

**latitude**: 59.9343 **longitude**: 30.3351",-,200,566.63
Yandex,"12. 191186, г. Санкт-Петербург, Дворцовая площадь, д. 2",59.940082 30.312814,exact,200,147.18
DaData,"12. 191186, г. Санкт-Петербург, Дворцовая площадь, д. 2",,network error: 0,0,2236.52
GigaChat,"12. 191186, г. Санкт-Петербург, Дворцовая площадь, д. 2","Координаты адреса «12. 191186, г. Санкт-Петербург, Дворцовая площадь, д. 2»:

**59.9343° N, 30.3351° E**

Формат вывода: **latitude longitude**.",-,200,573.94
Yandex,"13. 191023, г. Санкт-Петербург, набережная реки Фонтанки, д. 62",59.928861 30.338667,exact,200,145.81
DaData,"13. 191023, г. Санкт-Петербург, набережная реки Фонтанки, д. 62",,network error: 0,0,2258.86
GigaChat,"13. 191023, г. Санкт-Петербург, набережная реки Фонтанки, д. 62","Координаты указанного адреса примерно равны:

**latitude**: `59.938683  
longitude`: `30.314167`",-,200,650.59
Yandex,"14. 190031, г. Санкт-Петербург, Садовая ул., д. 54",59.922977 30.309544,exact,200,207.97
DaData,"14. 190031, г. Санкт-Петербург, Садовая ул., д. 54",,network error: 0,0,2224.87
GigaChat,"14. 190031, г. Санкт-Петербург, Садовая ул., д. 54","Координаты адреса «190031, г. Санкт-Петербург, Садовая улица, дом 54» примерно равны:

**latitude:** `59.938683`  
**longitude:** `30.314130`",-,200,727.75
Yandex,"15. 191011, г. Санкт-Петербург, ул. Итальянская, д. 25",59.935786 30.337293,exact,200,129.42
DaData,"15. 191011, г. Санкт-Петербург, ул. Итальянская, д. 25",,network error: 0,0,2685.89
GigaChat,"15. 191011, г. Санкт-Петербург, ул. Итальянская, д. 25","Координаты указанного адреса примерно равны:

**latitude**: 59.9386  
**longitude**: 30.3167",-,200,375.18
Yandex,"16. 191002, г. Санкт-Петербург, Литейный пр., д. 51",59.937197 30.347785,exact,200,120.14
DaData,"16. 191002, г. Санкт-Петербург, Литейный пр., д. 51",,network error: 0,0,2224.56
GigaChat,"16. 191002, г. Санкт-Петербург, Литейный пр., д. 51","Координаты адреса «16. 191002, г. Санкт-Петербург, Литейный пр., д. 51» примерно равны:

**59.9386° N (59° 56' 19''), 30.3141° E (30° 18' 51'')**

То есть в нужном формате:

```
59.9386, 30.3141
```",-,200,1067.69
Yandex,"17. 197046, г. Санкт-Петербург, ул. Куйбышева, д. 4",59.954601 30.325085,exact,200,141.34
DaData,"17. 197046, г. Санкт-Петербург, ул. Куйбышева, д. 4",,network error: 0,0,2255.53
GigaChat,"17. 197046, г. Санкт-Петербург, ул. Куйбышева, д. 4","Координаты указанного адреса примерно равны:

**latitude**: 59.9342  
**longitude**: 30.3356",-,200,373.67
Yandex,"18. 199034, г. Санкт-Петербург, Университетская наб., д. 7",59.93978 30.299456,number,200,128.56
DaData,"18. 199034, г. Санкт-Петербург, Университетская наб., д. 7",,network error: 0,0,2267.24
GigaChat,"18. 199034, г. Санкт-Петербург, Университетская наб., д. 7",Координаты указанного адреса: **59.934722 longitude 30.335278**,-,200,380.75
Yandex,"19. 191124, г. Санкт-Петербург, ул. Чайковского, д. 39",59.946302 30.354343,exact,200,149.55
DaData,"19. 191124, г. Санкт-Петербург, ул. Чайковского, д. 39",,network error: 0,0,2233.92
GigaChat,"19. 191124, г. Санкт-Петербург, ул. Чайковского, д. 39","Координаты адреса «19. 191124, г. Санкт-Петербург, ул. Чайковского, д. 39» по указанному формату: **59.938611 latitude, 30.316667 longitude**.  

Обратите внимание, что индекс «19. 191124» указан некорректно и не влияет на определение координат самого адреса.",-,200,962.87
Yandex,"20. 191014, г. Санкт-Петербург, Литейный пр., д. 60",59.93378 30.348396,exact,200,162.05
DaData,"20. 191014, г. Санкт-Петербург, Литейный пр., д. 60",,network error: 0,0,2218.25
GigaChat,"20. 191014, г. Санкт-Петербург, Литейный пр., д. 60","Координаты адреса «20, 191014, г. Санкт-Петербург, Литейный пр., д. 60» примерно равны:

**latitude:** `59.938683  
longitude:** `30.314167",-,200,785.03
Yandex,"620014, г. Екатеринбург, ул. 8 Марта, д. 13",56.836401 60.600349,exact,200,155.17
DaData,"620014, г. Екатеринбург, ул. 8 Марта, д. 13",,network error: 0,0,2245.73
GigaChat,"620014, г. Екатеринбург, ул. 8 Марта, д. 13","Координаты адреса «620014, г. Екатеринбург, ул. 8 Марта, д. 13»: **56.8395° N, 60.6014° E**  
Или в формате, запрошенном вами: `latitude longitude`:  
`56.8395, 60.6014`",-,200,693.49
Yandex,"630099, г. Новосибирск, Красный проспект, д. 20",55.022969 82.922963,near,200,169.2
DaData,"630099, г. Новосибирск, Красный проспект, д. 20",,network error: 0,0,2227.68
GigaChat,"630099, г. Новосибирск, Красный проспект, д. 20","Координаты адреса «630099, г. Новосибирск, Красный проспект, д. 20» примерно равны:

**latitude**: 55.0385  
**longitude**: 82.9211",-,200,486.9
Yandex,"420014, г. Казань, ул. Кремлевская, д. 18",55.790853 49.121784,exact,200,116.54
DaData,"420014, г. Казань, ул. Кремлевская, д. 18",,network error: 0,0,2230.33
GigaChat,"420014, г. Казань, ул. Кремлевская, д. 18","Координаты адреса «420014, г. Казань, ул. Кремлевская, д. 18»: **55.793521, 49.118834**.",-,200,699.61
Yandex,"603005, г. Нижний Новгород, ул. Большая Покровская, д. 82",56.308975 43.987292,exact,200,140.82
DaData,"603005, г. Нижний Новгород, ул. Большая Покровская, д. 82",,network error: 0,0,2253.4
GigaChat,"603005, г. Нижний Новгород, ул. Большая Покровская, д. 82","Координаты адреса «603005, г. Нижний Новгород, ул. Большая Покровская, д. 82» примерно равны:

**latitude:** `56.3293°`
**longitude:** `44.0068°`",-,200,554.35
Yandex,"443099, г. Самара, ул. Куйбышева, д. 145",53.19427 50.093788,exact,200,144.08
DaData,"443099, г. Самара, ул. Куйбышева, д. 145",,network error: 0,0,2267.28
GigaChat,"443099, г. Самара, ул. Куйбышева, д. 145","Координаты адреса «443099, г. Самара, ул. Куйбышева, д. 145»: **53.2288° N, 50.1239° E**  
Или в формате, запрошенном вами: `latitude longitude`:  
`53.2288, 50.1239`",-,200,885.08
Yandex,"454091, г. Челябинск, пр. Ленина, д. 57",55.159866 61.398044,exact,200,172.23
DaData,"454091, г. Челябинск, пр. Ленина, д. 57",,network error: 0,0,2244.43
GigaChat,"454091, г. Челябинск, пр. Ленина, д. 57","Координаты адреса «454091, г. Челябинск, пр. Ленина, д. 57»: **55.1389° N, 61.4231° E**  
Или в формате, запрошенном тобой: **latitude 55.1389, longitude 61.4231**.",-,200,663.6
Yandex,"644099, г. Омск, ул. Ленина, д. 10",54.986423 73.372919,exact,200,180.71
DaData,"644099, г. Омск, ул. Ленина, д. 10",,network error: 0,0,2242.51
GigaChat,"644099, г. Омск, ул. Ленина, д. 10","Координаты адреса «644099, г. Омск, ул. Ленина, д. 10» примерно равны:

**latitude:** 54.9833  
**longitude:** 73.3833",-,200,480.55
Yandex,"344002, г. Ростов-на-Дону, ул. Большая Садовая, д. 47",47.22168 39.712237,exact,200,119.91
DaData,"344002, г. Ростов-на-Дону, ул. Большая Садовая, д. 47",,network error: 0,0,2216.14
GigaChat,"344002, г. Ростов-на-Дону, ул. Большая Садовая, д. 47","Координаты адреса «344002, г. Ростов-на-Дону, ул. Большая Садовая, д. 47»: **47.21944, 39.7325**",-,200,667.76
Yandex,"450008, г. Уфа, пр. Октября, д. 72",54.761363 56.013336,exact,200,111.19
