Service,Operation,Request,Result,Quality,HTTP Status,Response Time (ms)
Yandex,Direct,"109012, г. Москва, Красная площадь, д. 1",55.755277 37.61768,exact,200,111.33
DaData,Direct,"109012, г. Москва, Красная площадь, д. 1",55.7552921 37.6176294,0,200,750.98
GigaChat,Direct,"109012, г. Москва, Красная площадь, д. 1",55.751244 37.618423,-,200,751.18
Yandex,Direct,"125009, г. Москва, Тверская ул., д. 7",55.757972 37.611212,exact,200,120.31
DaData,Direct,"125009, г. Москва, Тверская ул., д. 7",55.7579795 37.611263,0,200,613.71
GigaChat,Direct,"125009, г. Москва, Тверская ул., д. 7",55.755831 37.617299,-,200,836.39
Yandex,Direct,"101000, г. Москва, ул. Мясницкая, д. 26",55.763979 37.637326,exact,200,105.06
DaData,Direct,"101000, г. Москва, ул. Мясницкая, д. 26",55.7639781 37.6372038,0,200,527.85
GigaChat,Direct,"101000, г. Москва, ул. Мясницкая, д. 26",55.755831 37.617298,-,200,1041.76
Yandex,Direct,"119019, г. Москва, ул. Арбат, д. 51",55.747784 37.586688,exact,200,107.47
DaData,Direct,"119019, г. Москва, ул. Арбат, д. 51",55.747186 37.586536,1,200,621.26
GigaChat,Direct,"119019, г. Москва, ул. Арбат, д. 51","55.751244, 37.618423",-,200,910.59
Yandex,Direct,"127006, г. Москва, ул. Новый Арбат, д. 15",55.751933 37.593066,exact,200,138.96
DaData,Direct,"127006, г. Москва, ул. Новый Арбат, д. 15",55.752219 37.5923887,0,200,731.6
GigaChat,Direct,"127006, г. Москва, ул. Новый Арбат, д. 15","55.751244, 37.588321",-,200,688.18
Yandex,Direct,"115035, г. Москва, ул. Пятницкая, д. 62",55.732996 37.627148,exact,200,234.8
DaData,Direct,"115035, г. Москва, ул. Пятницкая, д. 62",55.7329539 37.627147,0,200,760.29
GigaChat,Direct,"115035, г. Москва, ул. Пятницкая, д. 62",55.7581 -37.6104,-,200,801.39
Yandex,Direct,"107031, г. Москва, Кузнецкий Мост ул., д. 21/5",55.762004 37.626448,exact,200,109.22
DaData,Direct,"107031, г. Москва, Кузнецкий Мост ул., д. 21/5",55.7625866 37.6271387,0,200,753.71
GigaChat,Direct,"107031, г. Москва, Кузнецкий Мост ул., д. 21/5","55.764656, 37.619411",-,200,832.91
Yandex,Direct,"123001, г. Москва, ул. 1905 года, д. 8",55.767089 37.560233,exact,200,111.61
DaData,Direct,"123001, г. Москва, ул. 1905 года, д. 8",55.7671175 37.5601109,0,200,766.94
GigaChat,Direct,"123001, г. Москва, ул. 1905 года, д. 8","55.751240, 37.618423",-,200,789.59
Yandex,Direct,"119121, г. Москва, Ленинский проспект, д. 32А",55.710732 37.578262,exact,200,114.28
DaData,Direct,"119121, г. Москва, Ленинский проспект, д. 32А",55.7106177 37.5774773,0,200,803.15
GigaChat,Direct,"119121, г. Москва, Ленинский проспект, д. 32А",55.752222 37.621944,-,200,861.67
Yandex,Direct,"129090, г. Москва, проспект Мира, д. 41",55.781241 37.633023,number,200,141.23
DaData,Direct,"129090, г. Москва, проспект Мира, д. 41",55.7817407 37.6325789,0,200,510.3
GigaChat,Direct,"129090, г. Москва, проспект Мира, д. 41",55.794348 37.826588,-,200,932.96
Yandex,Direct,"11. 190000, г. Санкт-Петербург, Невский пр., д. 28",59.9358 30.325875,exact,200,119.27
DaData,Direct,"11. 190000, г. Санкт-Петербург, Невский пр., д. 28",59.93584 30.325866,0,200,668.72
GigaChat,Direct,"11. 190000, г. Санкт-Петербург, Невский пр., д. 28",59.938684 30.314167,-,200,701.26
Yandex,Direct,"12. 191186, г. Санкт-Петербург, Дворцовая площадь, д. 2",59.940082 30.312814,exact,200,127.24
DaData,Direct,"12. 191186, г. Санкт-Петербург, Дворцовая площадь, д. 2",59.9401126 30.3128061,0,200,486.96
GigaChat,Direct,"12. 191186, г. Санкт-Петербург, Дворцовая площадь, д. 2",59.938683 30.314167,-,200,774.5
Yandex,Direct,"13. 191023, г. Санкт-Петербург, набережная реки Фонтанки, д. 62",59.928861 30.338667,exact,200,270.97
DaData,Direct,"13. 191023, г. Санкт-Петербург, набережная реки Фонтанки, д. 62",59.928855 30.33866,0,200,589.49
GigaChat,Direct,"13. 191023, г. Санкт-Петербург, набережная реки Фонтанки, д. 62",59.934321 30.335089,-,200,788.97
Yandex,Direct,"14. 190031, г. Санкт-Петербург, Садовая ул., д. 54",59.922977 30.309544,exact,200,307.83
DaData,Direct,"14. 190031, г. Санкт-Петербург, Садовая ул., д. 54",59.922972 30.309544,0,200,860.43
GigaChat,Direct,"14. 190031, г. Санкт-Петербург, Садовая ул., д. 54",59.916667 30.333333,-,200,774.72
Yandex,Direct,"15. 191011, г. Санкт-Петербург, ул. Итальянская, д. 25",59.935786 30.337293,exact,200,125.16
DaData,Direct,"15. 191011, г. Санкт-Петербург, ул. Итальянская, д. 25",59.9358328 30.3372245,0,200,573.99
GigaChat,Direct,"15. 191011, г. Санкт-Петербург, ул. Итальянская, д. 25",59.916667 30.283333,-,200,802.83
Yandex,Direct,"16. 191002, г. Санкт-Петербург, Литейный пр., д. 51",59.937197 30.347785,exact,200,123.09
